Year,Player,Result,Min,Gls,Ast,PK,Sh,SoT,CrdY,CrdR,Int,Tkl,xG,xAG,SCA,GCA,SoTA,GA,Saves,Save%,CS,is_goalkeeper,Rank
2002,Alessandro Del Piero,24-15-6,3567.0,21.0,7.712062256809339,4.0,,50.02255639097744,3.0,0.0,,,0.5298570227081582,0.1945852545872835,1.262133466551155,7.712062256809339,0.0,0.0,0.0,0.0,0.0,0,10
2002,Hasan Şaş,9-7-5,1903.0,3.0,7.712062256809339,0.0,,50.02255639097744,6.0,0.0,,,0.1418812401471361,0.3647323190293434,2.365754112027309,7.712062256809339,0.0,0.0,0.0,0.0,0.0,0,11
2002,Ronaldinho,19-15-5,2740.0,13.0,7.712062256809339,4.0,,50.02255639097744,9.0,1.0,,,0.4270072992700729,0.2533159135448323,1.6430766697766312,7.712062256809339,0.0,0.0,0.0,0.0,0.0,0,12
2002,Michael Owen,23-14-7,3453.0,26.0,1.0,1.0,,50.02255639097744,1.0,0.0,,,0.6776715899218071,0.0260642919200695,1.3038025123625745,1.0,0.0,0.0,0.0,0.0,0.0,0,13
2002,Ruud van Nistelrooy,28-9-9,3755.0,33.0,4.0,7.0,,50.02255639097744,5.0,0.0,,,0.7909454061251664,0.0958721704394141,1.1989427630327485,4.0,0.0,0.0,0.0,0.0,0.0,0,13
2002,Bernd Schneider,33-11-12,4791.0,8.0,7.712062256809339,0.0,,50.02255639097744,8.0,0.0,,,0.1502817783343769,0.144872803822342,0.939684841408468,7.712062256809339,0.0,0.0,0.0,0.0,0.0,0,15
2003,Pavel Nedvěd,26-10-8,3645.0,14.0,7.712062256809339,0.0,,50.02255639097744,6.0,0.0,,,0.345679012345679,0.1904212902915886,1.2351248491599367,7.712062256809339,0.0,0.0,0.0,0.0,0.0,0,1
2003,Thierry Henry,32-13-9,4696.0,35.0,20.0,4.0,,50.02255639097744,9.0,0.0,,,0.6707836456558773,0.383304940374787,0.9586946497419016,20.0,0.0,0.0,0.0,0.0,0.0,0,2
2003,Paolo Maldini,26-10-12,4183.0,2.0,7.712062256809339,0.0,,50.02255639097744,5.0,0.0,,,0.0430313172364331,0.1659300987599427,1.0762682465187592,7.712062256809339,0.0,0.0,0.0,0.0,0.0,0,3
2003,Andriy Shevchenko,15-9-11,2537.0,9.0,7.712062256809339,0.0,,50.02255639097744,1.0,0.0,,,0.3192747339377217,0.2735851805726608,1.7745487091793335,7.712062256809339,0.0,0.0,0.0,0.0,0.0,0,4
2003,Zinedine Zidane,25-14-8,3872.0,12.0,7.712062256809339,0.0,,50.02255639097744,4.0,0.0,,,0.2789256198347107,0.1792576454320352,1.162714378922513,7.712062256809339,0.0,0.0,0.0,0.0,0.0,0,5
2003,Ruud van Nistelrooy,32-6-7,3755.0,39.0,4.0,6.0,,50.02255639097744,5.0,0.0,,,0.9347536617842876,0.0958721704394141,1.1989427630327485,4.0,0.0,0.0,0.0,0.0,0.0,0,6
2003,Raúl,25-13-5,3736.0,25.0,7.712062256809339,0.0,,50.02255639097744,1.0,0.0,,,0.6022483940042827,0.1857830843449787,1.2050401700181932,7.712062256809339,0.0,0.0,0.0,0.0,0.0,0,7
2003,Roberto Carlos,27-17-8,4622.0,6.0,7.712062256809339,0.0,,50.02255639097744,7.0,0.0,,,0.1168325400259627,0.1501699703835656,0.974043720291642,7.712062256809339,0.0,0.0,0.0,0.0,0.0,0,8
2003,David Beckham,31-7-6,3412.0,9.0,8.0,0.0,,50.02255639097744,6.0,0.0,,,0.2373974208675263,0.2110199296600234,1.319469541379827,8.0,0.0,0.0,0.0,0.0,0.0,0,10
2003,Ronaldo,23-12-7,3164.0,29.0,7.712062256809339,0.0,,50.02255639097744,1.0,0.0,,,0.8249051833122629,0.2193696596437548,1.4228919327395608,7.712062256809339,0.0,0.0,0.0,0.0,0.0,0,11
2003,Henrik Larsson,7-2-3,1065.0,12.0,7.712062256809339,1.0,,50.02255639097744,0.0,0.0,,,1.0140845070422535,0.6517235709979723,4.227258286561474,7.712062256809339,0.0,0.0,0.0,0.0,0.0,0,12
2003,Alessandro Del Piero,19-12-6,2966.0,21.0,7.712062256809339,7.0,,50.02255639097744,1.0,0.0,,,0.6372218476062036,0.2340140266732435,1.5178793240687694,7.712062256809339,0.0,0.0,0.0,0.0,0.0,0,13
2003,Roy Makaay,27-7-15,4126.0,38.0,7.712062256809339,3.0,,50.02255639097744,0.0,0.0,,,0.8288899660688318,0.1682223953254581,1.0911367123577242,7.712062256809339,0.0,0.0,0.0,0.0,0.0,0,15
2004,Andriy Shevchenko,30-8-3,3444.0,28.0,7.712062256809339,1.0,,50.02255639097744,3.0,0.0,,,0.7317073170731708,0.2015347279654008,1.3072096617851248,7.712062256809339,0.0,0.0,0.0,0.0,0.0,0,1
2004,Deco,29-12-3,3676.0,4.0,7.712062256809339,0.0,,50.02255639097744,17.0,1.0,,,0.0979325353645266,0.1888154524246029,1.2247089431958569,7.712062256809339,0.0,0.0,0.0,0.0,0.0,0,2
2004,Ronaldinho,24-9-6,3200.0,18.0,7.712062256809339,2.0,,50.02255639097744,12.0,1.0,,,0.50625,0.2169017509727626,1.4068843984962407,7.712062256809339,0.0,0.0,0.0,0.0,0.0,0,3
2004,Thierry Henry,33-14-4,4578.0,37.0,6.0,7.0,,50.02255639097744,5.0,0.0,,,0.727391874180865,0.1179554390563564,0.983405433636516,6.0,0.0,0.0,0.0,0.0,0.0,0,4
2004,Theodoros Zagorakis,3-3-6,1065.0,0.0,7.712062256809339,0.0,,50.02255639097744,3.0,0.0,,,0.0,0.6517235709979723,4.227258286561474,7.712062256809339,0.0,0.0,0.0,0.0,0.0,0,5
2004,Adriano,13-8-6,2028.0,18.0,7.712062256809339,2.0,,50.02255639097744,0.0,0.0,,,0.7988165680473372,0.3422512835862132,2.219935934510833,7.712062256809339,0.0,0.0,0.0,0.0,0.0,0,6
2004,Pavel Nedvěd,25-6-8,3244.0,8.0,7.712062256809339,0.0,,50.02255639097744,6.0,0.0,,,0.2219482120838471,0.2139598036722689,1.3878021193551078,7.712062256809339,0.0,0.0,0.0,0.0,0.0,0,7
2004,Wayne Rooney,10-12-16,2694.0,13.0,4.0,0.0,,50.02255639097744,12.0,0.0,,,0.4342984409799554,0.1336302895322939,1.6711321734179547,4.0,0.0,0.0,0.0,0.0,0.0,0,8
2004,Ricardo Carvalho,32-12-2,4124.0,3.0,7.712062256809339,0.0,,50.02255639097744,14.0,0.0,,,0.065470417070805,0.1683039774764404,1.091665876621719,7.712062256809339,0.0,0.0,0.0,0.0,0.0,0,9
