Year,Player,Result,Min,Gls,Ast,PK,Sh,SoT,CrdY,CrdR,Int,TklW,SoTA,GA,Saves,Save%,CS,is_goalkeeper
2005,Steven Gerrard,21-9-14,"3,713",13.0,4.0,0.0,,,6.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2005,Thierry Henry,26-13-5,"3,878",31.0,14.0,1.0,,,3.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2005,Andriy Shevchenko,28-11-7,"3,777",28.0,,1.0,,,3.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2005,Paolo Maldini,31-8-7,"4,069",1.0,,0.0,,,4.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2005,Adriano,21-20-3,"3,394",31.0,,3.0,,,3.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0
2005,Zlatan Ibrahimović,34-11-7,"4,202",24.0,,1.0,,,8.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2005,Kaká,35-11-8,"4,379",10.0,,0.0,,,6.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2005,Samuel Eto'o,28-10-6,"3,710",29.0,,4.0,,,4.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2005,John Terry,37-9-5,"4,590",7.0,1.0,0.0,,,7.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2005,Claude Makélélé,34-9-4,"4,228",1.0,2.0,0.0,,,8.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2005,Juan Román Riquelme,24-15-10,"4,228",20.0,,11.0,,,8.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0
2006,Fabio Cannavaro,37-12-4,"4,731",4.0,,0.0,,,7.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0
2006,Thierry Henry,28-11-10,"4,099",35.0,8.0,3.0,,,4.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2006,Ronaldinho,34-9-2,"3,941",24.0,,9.0,,,5.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2006,Zinedine Zidane,19-15-6,"3,080",11.0,,2.0,,,9.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2006,Samuel Eto'o,30-11-4,"3,993",32.0,,1.0,,,2.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2006,Miroslav Klose,24-8-8,"3,299",34.0,,1.0,,,5.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0
2006,Didier Drogba,27-5-6,"2,629",14.0,11.0,0.0,,,10.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2006,Andrea Pirlo,34-11-8,"4,457",6.0,,0.0,,,5.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2006,Deco,31-11-3,"3,728",5.0,,0.0,,,15.0,2.0,,,0.0,0.0,0.0,0.0,0.0,0
2006,Kaká,35-9-7,"3,883",20.0,,3.0,,,2.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2006,Franck Ribéry,21-14-11,"3,829",8.0,,0.0,,,7.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0
2006,Gennaro Gattuso,36-10-7,"4,188",3.0,,0.0,,,14.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0
2006,Patrick Vieira,30-13-3,"4,038",7.0,,0.0,,,16.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0
2007,Kaká,25-13-9,"4,053",18.0,,6.0,,,3.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
